month,strategy,top20_overlap_with_waiting_only
2025-04,operational,0.25
2025-04,cancellation_aware,0.05
2025-04,deprivation_weighted,0.0
2025-04,full_fairness_aware,0.15
2025-05,operational,0.2
2025-05,cancellation_aware,0.05
2025-05,deprivation_weighted,0.0
2025-05,full_fairness_aware,0.2
2025-06,operational,0.35
2025-06,cancellation_aware,0.05
2025-06,deprivation_weighted,0.0
2025-06,full_fairness_aware,0.2
2025-07,operational,0.35
2025-07,cancellation_aware,0.1
2025-07,deprivation_weighted,0.0
2025-07,full_fairness_aware,0.2
2025-08,operational,0.45
2025-08,cancellation_aware,0.1
2025-08,deprivation_weighted,0.0
2025-08,full_fairness_aware,0.25
2025-09,operational,0.4
2025-09,cancellation_aware,0.15
2025-09,deprivation_weighted,0.0
2025-09,full_fairness_aware,0.2
2025-10,operational,0.55
2025-10,cancellation_aware,0.2
2025-10,deprivation_weighted,0.0
2025-10,full_fairness_aware,0.15
2025-11,operational,0.45
2025-11,cancellation_aware,0.25
2025-11,deprivation_weighted,0.0
2025-11,full_fairness_aware,0.25
2025-12,operational,0.3
2025-12,cancellation_aware,0.25
2025-12,deprivation_weighted,0.0
2025-12,full_fairness_aware,0.35
2026-01,operational,0.4
2026-01,cancellation_aware,0.25
2026-01,deprivation_weighted,0.0
2026-01,full_fairness_aware,0.3
2026-02,operational,0.5
2026-02,cancellation_aware,0.25
2026-02,deprivation_weighted,0.0
2026-02,full_fairness_aware,0.4
2026-03,operational,0.5
2026-03,cancellation_aware,0.4
2026-03,deprivation_weighted,0.0
2026-03,full_fairness_aware,0.25
